prod_id,cat_id
MPE440049761,MPE442345
MPE440309066,MPE442345
MPE440670405,MPE442345
MPE440318727,MPE442345
MPE440061975,MPE442345
MPE440485143,MPE442345
MPE440393160,MPE442345
MPE440016886,MPE442345
MPE440028641,MPE442345
MPE440050694,MPE442345
MPE440032921,MPE442345
MPE440077648,MPE442345
MPE440041312,MPE442345
MPE440847628,MPE442345
MPE440309391,MPE442345
MPE440346850,MPE442345
MPE440144203,MPE442345
MPE440430049,MPE442345
MPE440485172,MPE442345
MPE440672032,MPE442345
MPE440485054,MPE442345
MPE440309666,MPE442345
MPE440619185,MPE442345
MPE440309906,MPE442345
MPE440158772,MPE442345
MPE440295085,MPE442345
MPE440382733,MPE442345
MPE440292569,MPE442345
MPE440224977,MPE442345
MPE440277896,MPE442345
MPE440133972,MPE442345
MPE440525514,MPE442345
MPE440348632,MPE442345
MPE438551838,MPE444414
MPE438551807,MPE444414
MPE436775220,MPE444414
MPE423001352,MPE444414
MPE428098425,MPE444414
MPE440322770,MPE444414
MPE427269070,MPE444414
MPE436775194,MPE444414
MPE438566683,MPE444414
MPE425147076,MPE444414
MPE438797064,MPE444414
MPE438797015,MPE444414
MPE438551815,MPE444414
MPE439468415,MPE444414
MPE436775186,MPE444414
MPE439837853,MPE444414
MPE436775200,MPE444414
MPE438797031,MPE444414
MPE436775308,MPE444414
MPE422474441,MPE444414
MPE432654797,MPE444414
MPE433109788,MPE444414
MPE429993924,MPE444414
MPE431721704,MPE444414
MPE436525057,MPE444414
MPE436632394,MPE444414
MPE431721667,MPE444414
MPE433109419,MPE444414
MPE434934525,MPE444414
MPE431721752,MPE444414
MPE439044192,MPE444414
MPE436775168,MPE444414
MPE425163685,MPE444414
MPE438797024,MPE444414
MPE436775243,MPE444414
MPE435447909,MPE444414
MPE432655644,MPE444414
MPE436632315,MPE444414
MPE431721624,MPE444414
MPE436632472,MPE444414
MPE436632413,MPE444414
MPE438574871,MPE444414
MPE436577356,MPE444414
MPE438574875,MPE444414
MPE439797045,MPE444414
MPE438574873,MPE444414
MPE436775294,MPE444414
MPE436775175,MPE444414
MPE439819773,MPE444414
MPE431461355,MPE444414
MPE438543378,MPE5732
MPE438543404,MPE5732
MPE419973383,MPE5732
MPE438543389,MPE5732
MPE434638095,MPE5732
MPE430995205,MPE5732
MPE436523231,MPE5732
MPE438337508,MPE5732
MPE438337509,MPE5732
MPE427571407,MPE5732
MPE438514241,MPE5732
MPE439766231,MPE5732
MPE437958891,MPE5732
MPE436523245,MPE5732
MPE438337517,MPE5732
MPE428794763,MPE5732
MPE436520902,MPE5732
MPE426035652,MPE5732
MPE436422103,MPE5732
MPE432338583,MPE5732
MPE433960445,MPE5732
MPE438692707,MPE5732
MPE437959519,MPE5732
MPE420626055,MPE5732
MPE436485624,MPE5732
MPE436520754,MPE5732
MPE436104087,MPE5732
MPE436484432,MPE5732
MPE438544380,MPE5732
MPE436485408,MPE5732
MPE434326484,MPE5732
MPE424900070,MPE5732
MPE439315499,MPE5732
MPE435860782,MPE5732
MPE439745120,MPE5732
MPE421853458,MPE5732
MPE426738556,MPE5732
MPE438514221,MPE5732
MPE436482859,MPE5732
MPE438570366,MPE5732
MPE436511062,MPE5732
MPE437292575,MPE5732
MPE436488950,MPE5732
MPE426993927,MPE5732
MPE425693045,MPE5732
MPE436983356,MPE5732
MPE439082541,MPE5732
MPE436490096,MPE5732
MPE436520773,MPE5732
MPE438475538,MPE5732
MPE440696888,MPE437263
MPE440301356,MPE437263
MPE440441026,MPE437263
MPE440517445,MPE442346
MPE434385415,MPE442346
MPE440763134,MPE442346
MPE438011709,MPE442346
MPE436877039,MPE442346
MPE440841355,MPE442346
MPE434180564,MPE442346
MPE438820228,MPE442346
MPE440361057,MPE442346
MPE432264901,MPE442346
MPE439918510,MPE442346
MPE429383149,MPE442346
MPE439560235,MPE442346
MPE440696751,MPE442346
MPE430559557,MPE442346
MPE440437494,MPE442346
MPE439900581,MPE442346
MPE430999245,MPE442346
MPE440259232,MPE442346
MPE439308663,MPE442346
MPE438812767,MPE442346
MPE438641897,MPE442346
MPE439958243,MPE442346
MPE440574177,MPE442346
MPE439900570,MPE442346
MPE429383187,MPE442346
MPE438811382,MPE442346
MPE440441097,MPE442346
MPE439900603,MPE442346
MPE439900707,MPE442346
MPE432908088,MPE442346
MPE436666967,MPE442346
MPE429383171,MPE442346
MPE424552187,MPE442346
MPE431004192,MPE442346
MPE440592761,MPE442346
MPE439900667,MPE442346
MPE439716105,MPE442346
MPE440407020,MPE442346
MPE439900697,MPE442346
MPE439900463,MPE442346
MPE431079158,MPE442346
MPE439900631,MPE442346
MPE439900555,MPE442346
MPE439900585,MPE442346
MPE439900512,MPE442346
MPE431275244,MPE442346
MPE439900505,MPE442346
MPE433250882,MPE442346
MPE439900611,MPE442346
MPE438937295,MPE178700
MPE428913117,MPE178700
MPE440069934,MPE178700
MPE436407190,MPE178700
MPE439469381,MPE178700
MPE440291700,MPE178700
MPE440068135,MPE178700
MPE433197011,MPE178700
MPE427611710,MPE178700
MPE440069541,MPE178700
MPE438729554,MPE178700
MPE440069848,MPE178700
MPE437412401,MPE178700
MPE427933891,MPE178700
MPE437835051,MPE178700
MPE429113363,MPE178700
MPE427611887,MPE178700
MPE436717642,MPE178700
MPE419796735,MPE178700
MPE440381684,MPE178700
MPE436407302,MPE178700
MPE430335401,MPE178700
MPE440494549,MPE178700
MPE427811139,MPE178700
MPE427457240,MPE178700
MPE440291702,MPE178700
MPE440068386,MPE178700
MPE426274883,MPE178700
MPE440068320,MPE178700
MPE440684438,MPE178700
MPE438377854,MPE178700
MPE422851629,MPE178700
MPE440291677,MPE178700
MPE438937074,MPE178700
MPE439421173,MPE178700
MPE424889377,MPE178700
MPE431128343,MPE178700
MPE427481791,MPE178700
MPE440472032,MPE178700
MPE432362101,MPE178700
MPE440208216,MPE178700
MPE439717620,MPE178700
MPE432191488,MPE178700
MPE423717283,MPE178700
MPE433129191,MPE178700
MPE431102873,MPE178700
MPE440291693,MPE178700
MPE438441015,MPE178700
MPE427689260,MPE178700
MPE432709852,MPE178700
MPE430456543,MPE1367
MPE436753444,MPE1367
MPE439522185,MPE1367
MPE439273099,MPE1367
MPE432190993,MPE1367
MPE425042206,MPE1367
MPE440162500,MPE1367
MPE426396953,MPE1367
MPE432730293,MPE1367
MPE428311071,MPE1367
MPE427911835,MPE1367
MPE418323460,MPE1367
MPE439797122,MPE1367
MPE437257069,MPE1367
MPE418917074,MPE1367
MPE427768869,MPE1367
MPE432479274,MPE1367
MPE440339976,MPE1367
MPE431794323,MPE1367
MPE419104458,MPE1367
MPE430216891,MPE1367
MPE430520602,MPE1367
MPE436684098,MPE1367
MPE430867759,MPE1367
MPE439198633,MPE1367
MPE426577395,MPE1367
MPE432654749,MPE1367
MPE432156181,MPE1367
MPE436359167,MPE1367
MPE438457822,MPE1367
MPE440528417,MPE1367
MPE440492638,MPE1367
MPE436538056,MPE1367
MPE426801782,MPE1367
MPE440401118,MPE1367
MPE419153581,MPE1367
MPE433831858,MPE1367
MPE433042072,MPE1367
MPE428585952,MPE1367
MPE432390248,MPE1367
MPE429022195,MPE1367
MPE439254495,MPE1367
MPE439314144,MPE1367
MPE431352545,MPE1367
MPE428105699,MPE1367
MPE437079902,MPE1367
MPE431976277,MPE1367
MPE432653518,MPE1367
MPE432616611,MPE1367
MPE432191716,MPE1367
MPE436101851,MPE6169
MPE435220015,MPE6169
MPE439399628,MPE6169
MPE439128558,MPE6169
MPE425367709,MPE6169
MPE438665220,MPE6169
MPE440390457,MPE6169
MPE436085707,MPE6169
MPE439128341,MPE6169
MPE436068784,MPE6169
MPE434114042,MPE6169
MPE440659206,MPE6169
MPE430397811,MPE6169
MPE434355271,MPE6169
MPE435023199,MPE6169
MPE435023362,MPE6169
MPE432970635,MPE6169
MPE435024245,MPE6169
MPE437606764,MPE6169
MPE438958915,MPE6169
MPE437807103,MPE6169
MPE436434978,MPE6169
MPE431551489,MPE6169
MPE439866410,MPE6169
MPE438517168,MPE6169
MPE435005667,MPE6169
MPE439317142,MPE6169
MPE436967433,MPE6169
MPE435180268,MPE6169
MPE430417344,MPE6169
MPE435009756,MPE6169
MPE435210797,MPE6169
MPE437807217,MPE6169
MPE435206836,MPE6169
MPE435006598,MPE6169
MPE435010054,MPE6169
MPE437807063,MPE6169
MPE435182021,MPE6169
MPE435023924,MPE6169
MPE438438720,MPE6169
MPE435182066,MPE6169
MPE438550210,MPE6169
MPE439648971,MPE6169
MPE435024219,MPE6169
MPE437723612,MPE6169
MPE439392544,MPE6169
MPE424710226,MPE6169
MPE435005455,MPE6169
MPE437392114,MPE6169
MPE438929450,MPE6169
MPE440072305,MPE8475
MPE435570074,MPE8475
MPE437117801,MPE8475
MPE440419824,MPE8475
MPE419837773,MPE8475
MPE439989876,MPE8475
MPE437241936,MPE8475
MPE422140438,MPE8475
MPE437117863,MPE8475
MPE421346918,MPE8475
MPE426299425,MPE8475
MPE436129408,MPE8475
MPE440477976,MPE8475
MPE425809680,MPE8475
MPE419965926,MPE8475
MPE436129677,MPE8475
MPE434272465,MPE8475
MPE427447789,MPE8475
MPE428394947,MPE8475
MPE435137633,MPE8475
MPE438574450,MPE8475
MPE436145765,MPE8475
MPE439227260,MPE8475
MPE425651522,MPE8475
MPE437226696,MPE8475
MPE419274898,MPE8475
MPE429034790,MPE8475
MPE436613244,MPE8475
